timestamp,branch,generated_from_commit,committed_in_commit,report_path,log_path,exit_code,assets_analyzed,strategy_versions,notes
2026-05-29T16:41:02.455Z,ai/p5-research-expansion,bc67b5ba32a1332bbe3b3a217506af346fde5ba2,,reports/p5/P5_MULTI_ASSET_STRATEGY_RESEARCH_REPORT_reporting-hardening-20260529-114100.md,logs/p5-multiasset-reporting-hardening-20260529-114100.log,0,BTC-USD;AVAX-USD;ETH-USD;LINK-USD;SOL-USD,momentum_continuation=strategy.momentum_continuation.2026-05-21.v1; trend_pullback=strategy.trend_pullback.2026-05-21.v1; breakout_expansion=strategy.breakout_expansion.2026-05-21.v1; mean_reversion_bounce=strategy.mean_reversion_bounce.2026-05-21.v1; momentum_continuation_refined_v1=strategy.momentum_continuation_refined_v1.2026-05-27.v2; trend_pullback_refined_v1=strategy.trend_pullback_refined_v1.2026-05-29.v2; breakout_expansion_refined_v1=strategy.breakout_expansion_refined_v1.2026-05-29.v2; mean_reversion_refined_v1=strategy.mean_reversion_refined_v1.2026-05-29.v2,P5 reporting hardening after Priority 8C-8F
2026-06-02T21:41:12.563Z,ai/p5-priority-9-final-report-quality,692d072edc13ad6a2409033070e1bfe61ebf1ff9,,reports/p5/P5_MULTI_ASSET_STRATEGY_RESEARCH_REPORT_priority9-final-20260602-164109.md,logs/p5-priority9-final-20260602-164109.out.log,0,BTC-USD;AVAX-USD;ETH-USD;LINK-USD;SOL-USD,momentum_continuation=strategy.momentum_continuation.2026-05-21.v1; trend_pullback=strategy.trend_pullback.2026-05-21.v1; breakout_expansion=strategy.breakout_expansion.2026-05-21.v1; mean_reversion_bounce=strategy.mean_reversion_bounce.2026-05-21.v1; momentum_continuation_refined_v1=strategy.momentum_continuation_refined_v1.2026-05-27.v2; trend_pullback_refined_v1=strategy.trend_pullback_refined_v1.2026-05-29.v2; breakout_expansion_refined_v1=strategy.breakout_expansion_refined_v1.2026-05-29.v2; mean_reversion_refined_v1=strategy.mean_reversion_refined_v1.2026-05-29.v2,generated by scripts/runExpandedBacktestResearch.ts
2026-06-03T02:06:41.355Z,ai/p5-risk-readiness-hardening,7e7b7633b6991d42fa71ba8341dbcce0c679194f,,P5_MULTI_ASSET_STRATEGY_RESEARCH_REPORT.md,,0,BTC-USD;AVAX-USD;ETH-USD;LINK-USD;SOL-USD,momentum_continuation=strategy.momentum_continuation.2026-05-21.v1; trend_pullback=strategy.trend_pullback.2026-05-21.v1; breakout_expansion=strategy.breakout_expansion.2026-05-21.v1; mean_reversion_bounce=strategy.mean_reversion_bounce.2026-05-21.v1; momentum_continuation_refined_v1=strategy.momentum_continuation_refined_v1.2026-05-27.v2; trend_pullback_refined_v1=strategy.trend_pullback_refined_v1.2026-05-29.v2; breakout_expansion_refined_v1=strategy.breakout_expansion_refined_v1.2026-05-29.v2; mean_reversion_refined_v1=strategy.mean_reversion_refined_v1.2026-05-29.v2,generated by scripts/runExpandedBacktestResearch.ts
